crawl_date,brand,product_id,product_name,series_name,space,style,price_display,original_price,size,color,material,serial_number,part_no,primary_image_url,gallery_image_count,display_image_count,display_image_urls,display_image_local_paths,display_image_selection_basis,description_text,detail_content_text,buy_url,detail_url,source_endpoint,created_at,updated_at
2026-04-02,联邦家私,2,联邦柚木茶桌书桌实木办公桌,舒芙里,,新中式,22800,0.00,2100*850*750mm,,FAS级北美黑胡桃,YS2061YA(2.1M)书台,,http://img.landbond.com/storage/uploads/video/20231031/b6b4f8223e8b8a5c9f9ffab9e4b5289a.mp4,4,4,http://img.landbond.com/storage/uploads/goods/20231025/e55cdb1387d1960fedbf4a69f130bc92.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/1168e68a98b6914183db893b6314b309.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/b1d49ea00ad8efbb46babf38377e5864.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/66472db58e22a8e72eecdccc4debcc17.png?imageView2/1/w/300/h/300,data/images/landbond/2/display_01.png | data/images/landbond/2/display_02.png | data/images/landbond/2/display_03.png | data/images/landbond/2/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=113835485098389,https://www.landbond.com/goods/detail/2,https://www.landbond.com/goods/lists/0/?page=17&serie=,2023-10-25 17:34:02,2026-04-01 20:38:43
2026-04-02,联邦家私,7,联邦东方极简实木茶台柚木实木书椅,舒芙里,,新中式,21777,0.00,950*400*1900mm,,非洲柚木,YS2063YA茶台,,http://img.landbond.com/storage/uploads/video/20231031/fc5f73a0bba8f93311a5f81e6dd44753.mp4,4,4,http://img.landbond.com/storage/uploads/goods/20231025/d99e891578cf8f654253de8feb4adb45.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/de7978e01a82c8b132be681f2fa28345.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/00fa25e4a8b68a419b4a06c76773af63.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/54b67374d26a0abfa9f9bc547cb0bfff.png?imageView2/1/w/300/h/300,data/images/landbond/7/display_01.png | data/images/landbond/7/display_02.png | data/images/landbond/7/display_03.png | data/images/landbond/7/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=113836542098389,https://www.landbond.com/goods/detail/7,https://www.landbond.com/goods/lists/0/?page=16&serie=,2023-10-25 19:06:30,2026-04-01 15:53:04
2026-04-02,联邦家私,13,联邦实木家具书房茶室柚木2M茶台,舒雨,,新中式,12200,0.00,2000x805x700mm,,非洲柚木,YS2061YA(2M)茶台,,http://img.landbond.com/storage/uploads/goods/20231028/3c0864939d762cc5eff07fa0ec49dff7.jpg,4,4,http://img.landbond.com/storage/uploads/goods/20231025/e61d4f0cc3ecaaa68862ec02d17d3b40.jpg?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/e8b6de813b83955c3d9b61a602797838.jpg?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/013da3078cca15bf037b4e3cc6d2223a.jpg?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/80ecd6f065df8b89e6ad97b73cb920e3.jpg?imageView2/1/w/300/h/300,data/images/landbond/13/display_01.jpg | data/images/landbond/13/display_02.jpg | data/images/landbond/13/display_03.jpg | data/images/landbond/13/display_04.jpg,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=114328488098389,https://www.landbond.com/goods/detail/13,https://www.landbond.com/goods/lists/0/?page=15&serie=,2023-10-25 19:24:39,2026-04-01 15:53:14
2026-04-02,联邦家私,18,联邦实木家具东方极简新中式茶室书房柚木茶柜,舒雨,,新中式,16431,0.00,900*380*1440mm,,非洲柚木,YS2062YA茶柜,,http://img.landbond.com/storage/uploads/goods/20231028/b97d618aa85daf50ffe824631671e520.png,5,5,http://img.landbond.com/storage/uploads/goods/20231025/da3df916412397f052d49fbd75c22866.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/d647a81dadc51b17429721b4ded5594c.jpg?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/3b8ee39863f9fb8cde5772c8f78075d5.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/b8241f6cb801fa03f9f183ae965d8666.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/acd1eee31b3cf223108aa818777db101.jpg?imageView2/1/w/300/h/300,data/images/landbond/18/display_01.png | data/images/landbond/18/display_02.jpg | data/images/landbond/18/display_03.png | data/images/landbond/18/display_04.png | data/images/landbond/18/display_05.jpg,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=114328989098389,https://www.landbond.com/goods/detail/18,https://www.landbond.com/goods/lists/0/?page=19&serie=,2023-10-25 19:36:29,2026-04-01 16:08:10
2026-04-02,联邦家私,19,联邦家具东方极简新中式茶室茶台,舒雨,,新中式,12880,0.00,1760*810*750mm,,非洲柚木,YS2062YA茶台,,http://img.landbond.com/storage/uploads/goods/20231028/6f428c43a7b23e4fe283c2f2cf030171.png,4,4,http://img.landbond.com/storage/uploads/goods/20231025/0857255edec4a302c0ddb834f69477cd.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/7b3156532214d2774908b5f045314ba4.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/6dd3a7b8349f83e4a7369fbee3378150.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/130d702582e1b91edffd8e0dcab8576b.png?imageView2/1/w/300/h/300,data/images/landbond/19/display_01.png | data/images/landbond/19/display_02.png | data/images/landbond/19/display_03.png | data/images/landbond/19/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=114330710098389,https://www.landbond.com/goods/detail/19,https://www.landbond.com/goods/lists/0/?page=17&serie=,2023-10-25 19:39:07,2026-04-02 01:21:31
2026-04-02,联邦家私,31,联邦东方极简全实木柚木卧房大床,舒芙里,,新中式,16830,0.00,1890*2090*1135mm,,非洲柚木,YS2063YA(1.8M)大床[HK08半皮],,http://img.landbond.com/storage/uploads/goods/20231028/80e77405c5957ea45686c0431b95c67b.png,4,4,http://img.landbond.com/storage/uploads/goods/20231025/36cfffc7cad3200e1b0995e1434ec86e.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/0b9396aee412b9eaaf80f7ce176f0713.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/2880260157b3c491de2c26e77ec450fc.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/f5c71ad4cdcf70b1659d65b9d065cb2b.png?imageView2/1/w/300/h/300,data/images/landbond/31/display_01.png | data/images/landbond/31/display_02.png | data/images/landbond/31/display_03.png | data/images/landbond/31/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=114440893098389,https://www.landbond.com/goods/detail/31,https://www.landbond.com/goods/lists/0/?page=16&serie=,2023-10-25 20:16:57,2026-03-31 07:09:09
2026-04-02,联邦家私,35,联邦实木家具东方极简实卧房实木床头柜,舒芙里,,原木自然,3398,0.00,550*420*520mm,,非洲柚木,YS2062YA床头柜,,http://img.landbond.com/storage/uploads/video/20231031/4343280b41d0ebb704cf36beb1d9e7d3.mp4,4,4,http://img.landbond.com/storage/uploads/goods/20231025/dff67f8615830a921965fcecbd712c70.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/904268a02465fcf9879fc7a0c054d712.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/59df3a8661a0095678824869a565e290.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/be84631389ee6ef7b265bc10232bb46e.png?imageView2/1/w/300/h/300,data/images/landbond/35/display_01.png | data/images/landbond/35/display_02.png | data/images/landbond/35/display_03.png | data/images/landbond/35/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=114135645098389,https://www.landbond.com/goods/detail/35,https://www.landbond.com/goods/lists/0/?page=15&serie=,2023-10-25 20:22:27,2026-04-01 23:58:09
2026-04-02,联邦家私,37,联邦实木大床东方极简全实木柚木卧房大床,舒芙里,,原木自然,31000,0.00,1990*2147*1180mm,,非洲柚木,YS2065YA大床,,http://img.landbond.com/storage/uploads/video/20231104/0478bd7e707109c166354bd52c92b8f2.mp4,4,4,http://img.landbond.com/storage/uploads/goods/20231025/c525da225739a6e67c6de7a595f90f43.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/ecb39661ede1ac4dde098311f3c7602a.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/a1061caf28021f231e9e2b2ebe844710.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/5e79d8f16cf4ebbd96a59085045c5678.png?imageView2/1/w/300/h/300,data/images/landbond/37/display_01.png | data/images/landbond/37/display_02.png | data/images/landbond/37/display_03.png | data/images/landbond/37/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=106713597098389,https://www.landbond.com/goods/detail/37,https://www.landbond.com/goods/lists/0/?page=14&serie=,2023-10-25 20:24:19,2026-04-02 00:35:01
2026-04-02,联邦家私,40,联邦实木大床新中式实木柚木卧房大床,舒雨,,新中式,32183,0.00,2140*2090*1120,,非洲柚木,YS2061YA(1.8M)大床,,http://img.landbond.com/storage/uploads/video/20231104/0e4892969078389d0cbf29261a44d457.mp4,4,4,http://img.landbond.com/storage/uploads/goods/20231025/23efcf0218cd0a6fc6f86c76c9e0c820.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/2cc529e9b1f554a656e1af80d20d9dc4.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/5431b2d6a03709ad88c758ad20e72928.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/cef6dd37804abffe5706bef48666252f.png?imageView2/1/w/300/h/300,data/images/landbond/40/display_01.png | data/images/landbond/40/display_02.png | data/images/landbond/40/display_03.png | data/images/landbond/40/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=111262864098389,https://www.landbond.com/goods/detail/40,https://www.landbond.com/goods/lists/0/?page=15&serie=,2023-10-25 20:27:01,2026-04-01 10:54:00
2026-04-02,联邦家私,45,联邦家私【舒雨】卧房实木柚木床头柜,舒雨,,新中式,2960,0.00,500*420*530mm,,非洲柚木,YS2061YA床头柜,,http://img.landbond.com/storage/uploads/goods/20231028/4caae5b9e01eeeef75536d56a5da22d2.jpg,4,4,http://img.landbond.com/storage/uploads/goods/20231025/3b2f808f6854726778ee8e8a5681325b.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/55a0497626bf772cd32e08cdaef2b2e0.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/cf6c8c4d36f2d255fa11137b2baafd8e.png?imageView2/1/w/300/h/300 | http://img.landbond.com/storage/uploads/goods/20231025/65d879bed0c927ceaae98be205349163.png?imageView2/1/w/300/h/300,data/images/landbond/45/display_01.png | data/images/landbond/45/display_02.png | data/images/landbond/45/display_03.png | data/images/landbond/45/display_04.png,优先解析详情页 carousel-item 主轮播；若失败则回退 API banner；最后回退商品主图 thumb，并过滤非图片资源,,,https://403683389.shop.n.weimob.com/bos/shop/403683389/0/6902438389/goods/detail/index?id=106713610098389,https://www.landbond.com/goods/detail/45,https://www.landbond.com/goods/lists/0/?page=15&serie=,2023-10-25 20:36:55,2026-04-01 14:19:21
